         20846309 function calls (20599850 primitive calls) in 34.277 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:103(ParserWarning)
       27    0.000    0.000    0.042    0.002 __init__.py:1056(rc_params_from_file)
        1    0.000    0.000    0.170    0.170 __init__.py:106(<module>)
        5    0.001    0.000    0.005    0.001 __init__.py:1065(boxplot_stats)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1079(_StderrHandler)
        1    0.000    0.000    0.038    0.038 __init__.py:108(import_module)
      593    0.001    0.000    0.053    0.000 __init__.py:1082(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1085(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1103(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1107(winfo_toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(__init__)
      592    0.002    0.000    0.052    0.000 __init__.py:111(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1115(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1120(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1145(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1150(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:1156(_compute_conf_interval)
       21    0.000    0.000    0.001    0.000 __init__.py:1161(getLogger)
       33    0.000    0.000    0.001    0.000 __init__.py:1195(_bind)
       20    0.000    0.000    0.000    0.000 __init__.py:1212(_fixupParents)
       33    0.000    0.000    0.001    0.000 __init__.py:1212(bind)
        1    0.000    0.000    0.000    0.000 __init__.py:125(lrange)
        1    0.000    0.000    0.000    0.000 __init__.py:1253(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1264(rc_context)
       21    0.000    0.000    0.000    0.000 __init__.py:1268(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1274(<dictcomp>)
       11    0.000    0.000    0.000    0.000 __init__.py:1286(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
       25    0.000    0.000    0.001    0.000 __init__.py:1315(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:1340(nametowidget)
       65    0.000    0.000    0.000    0.000 __init__.py:1348(is_math_text)
       41    0.000    0.000    0.001    0.000 __init__.py:1357(_register)
      235    0.001    0.000    0.002    0.000 __init__.py:1357(_to_unmasked_float_array)
      140    0.000    0.000    0.001    0.000 __init__.py:1368(_check_1d)
        2    0.000    0.000    0.000    0.000 __init__.py:1379(_root)
        5    0.000    0.000    0.000    0.000 __init__.py:1383(_reshape_2D)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:140(EventType)
        5    0.000    0.000    0.000    0.000 __init__.py:1401(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1404(get_backend)
       78    0.000    0.000    0.000    0.000 __init__.py:142(__init__)
      225    0.000    0.000    0.001    0.000 __init__.py:1424(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:144(MergeError)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       11    0.000    0.000    0.000    0.000 __init__.py:1530(getEffectiveLevel)
       11    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
       39    0.000    0.000    0.001    0.000 __init__.py:1563(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1576(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1582(__init__)
       65    0.000    0.000    0.000    0.000 __init__.py:1589(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1590(LoggerAdapter)
       39    0.000    0.000    0.000    0.000 __init__.py:1598(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
       85    0.001    0.000    0.001    0.000 __init__.py:162(connect)
      250    0.001    0.000    0.004    0.000 __init__.py:1624(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:163(AbstractMethodError)
       39    0.001    0.000    0.010    0.000 __init__.py:1638(param)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
       75    0.000    0.000    0.001    0.000 __init__.py:1640(sanitize_sequence)
       35    0.001    0.000    0.002    0.000 __init__.py:1646(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(CallWrapper)
       41    0.000    0.000    0.000    0.000 __init__.py:1695(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1712(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
       35    0.000    0.000    0.000    0.000 __init__.py:1731(<listcomp>)
     40/5    0.001    0.000    0.129    0.026 __init__.py:1732(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:1733(YView)
       35    0.000    0.000    0.000    0.000 __init__.py:1736(<listcomp>)
      115    0.000    0.000    0.002    0.000 __init__.py:1745(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
       35    0.000    0.000    0.000    0.000 __init__.py:1753(get_label)
        1    0.000    0.000    0.000    0.000 __init__.py:1754(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:1769(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(TimeoutError)
        2    0.000    0.000    0.000    0.000 __init__.py:18(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:183(Event)
       21    0.000    0.000    0.001    0.000 __init__.py:1838(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        5    0.000    0.000    0.000    0.000 __init__.py:1876(_str_equal)
        1    0.000    0.000    0.006    0.006 __init__.py:1887(wm_iconphoto)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        8    0.000    0.000    0.001    0.000 __init__.py:1896(_define_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
       22    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
       61    0.000    0.000    0.000    0.000 __init__.py:1916(make_alias)
        3    0.000    0.000    0.000    0.000 __init__.py:1917(method)
        1    0.000    0.000    0.000    0.000 __init__.py:192(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:1956(wm_protocol)
        1    0.000    0.000    0.000    0.000 __init__.py:1966(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
     1186    0.003    0.000    0.004    0.000 __init__.py:1981(_setattr_cm)
        1    0.000    0.000    0.000    0.000 __init__.py:1983(wm_title)
      593    0.001    0.000    0.001    0.000 __init__.py:1986(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1992(wm_withdraw)
        1    0.000    0.000    0.000    0.000 __init__.py:1999(Tk)
        4    0.000    0.000    0.021    0.005 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
        1    0.000    0.000    0.112    0.112 __init__.py:2003(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2020(_OrderedSet)
        5    0.000    0.000    0.000    0.000 __init__.py:2021(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2033(_loadtk)
      210    0.001    0.000    0.001    0.000 __init__.py:204(process)
        1    0.000    0.000    0.000    0.000 __init__.py:2067(readprofile)
        5    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:2121(Pack)
       12    0.000    0.000    0.001    0.000 __init__.py:2125(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:2160(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       22    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2204(Grid)
     7654    0.011    0.000    0.018    0.000 __init__.py:221(iteritems)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
